38.09871863846583 -8.05144505506472 24.670753528309163 -23.275889878721262 -1.6414358515644203 -11.48876110495856 -35.533698321350506 -58.32765482279145 10.081337746283229 25.50640914429216 -10.089377599537126 -64.4750099559459 40.7246564189156 -17.870964912729214 10.100193041869211 5.310101900887384 11.280964355178158 -22.018369578114992 -17.423560811138522 -27.23232882364742 -25.09350120875712 56.305211047812165 31.523035005935082 25.183791967446545 40.39784892497104 14.533463432748949 18.15777276276654 55.12119353158296 8.910937997261458 -37.29504809932955 23.638460597191088 0.1197272064775019 1.3700721633041937 19.767453743465772 24.045558739251774 -0.3086465927699664 13.254706333262934 17.239870095011693 27.435521202047184 -0.485423481647535 -0.2606024234398697 -7.1421025691411435 -16.51995955691254 12.397498190814163 20.396258207794666 -11.556343121797138 20.70865970714868 -52.01842212904823 57.47869866906544 9.856250845659655 -14.236303329760734 22.966617453946522 -20.021350745633264 -10.111991976496178 -99.7306487201057 -1.5709080839861618 -37.60236652777125 63.80655139732161 -37.85753880012306 -7.081351390641013 -23.34831199640048 -22.654858786048674 -38.65909619820718 -179.03568725615958 11.18922311958084 66.3445726006763 -2.5285519505530534 6.5039609275820585 20.577794656227844 31.54128960891821 14.101878711413594 -43.65299140571215 -34.86492084053823 -136.93607464185612 45.28058284408834 -55.67700682617132 -19.592025503854487 28.997511399757585 -33.37610870120885 -98.54707044701502 -2.8946771604187145 -13.549984804585401 9.791346562098395 0.7461630059201596 -31.084198379102368 -56.45672075995173 -12.28390526031827 -161.89497083756015 -17.81438017609437 69.97063341894867 -14.516788105790747 -5.5482078500094225 -1.699950508602324 15.83296793642896 -9.827358022812994 -3.9160103542327627 89.44777893178936 -25.06560404509051 -5.462297558488711 63.366595180059775 -8.15337074270472 -14.102098726200246 75.19135142507672 23.040603441950097 6.413772106181421 73.2786328890702 -15.130065589750117 -52.88286435872007 -12.486716969587034 -0.5737322011263171 4.34652170770603 14.372794855254078 -21.72646753768845 53.3667230280321 78.48880457981309 -3.580895466266173 61.91235169693076 4.480402069318662 -27.86856827882653 -160.6131041717833 0.4982289219668079 25.036476564073247 -19.679456183521058 8.105379732868968 16.715039582091336 30.70899323557299 -38.87662784434801 -3.368268606094466 49.72290447086349 142.1263428477748 -0.6597169609784714 35.5334047936719 -149.36729043394286 23.61163473579657 -31.847353376187964 107.54977355084931 21.582242433919866 100.42760872788445 0.44903906778379543 -6.3415667112360135 98.0078173854122 -23.679761546445732 7.138326139154001 -20.842335629545758 3.808482864513719 5.92662442584309 -1.357435863937324 -12.563378508806604 16.049571534154833 80.74390645373393 5.785530050256448 6.243529515143219 76.92718356363258 96.85305373577718 -11.663193341068787 -1.2977727749390793 -62.4976780777557 22.613554308898586 -4.031100547727336 10.316020505019056 -49.990146669878044 -5.882667675378251 -49.013812133199764 81.13981265421482 15.050547872060392 -2.7262842699798737 47.350737694680035 37.329428207138655 -1.147449855424041 19.353602719435536 13.752204195097516 0.24457773412340167 42.91603438520687 79.53198137480436 49.215584474617465 11.590708033262512 -57.7360651204579 -41.33688631405197 -6.8428207819638605 -98.94382946209447 48.06321423922883 612.976993768982 -19.460676095060638 23.809258254954184 4.331326879930158 -77.98464201891773 8.826999665241601 -26.342429621571746 6.963916783536456 -137.26629137508422 -75.10782462354176 -13.237235246234246 82.79642584760904 -38.727375369903925 -147.08576784849342 28.20465141927861 41.23179299012572 56.53974314409305 -12.049005773843248 25.326575394793448 75.40754895850503 -1.2738435557919363 2.592944194828418 -0.8213945232645736 1.5989284773898493 -35.16280174485399 -1.671750853021499 -14.274036019621274 9.479701420682515 -40.46838344224426 -8.938050805683508 109.60789416422132 6.651140582872259 43.904017340728444 -97.63287660760035 -65.26542659986058 6.4483505670055195 11.243894078227166 34.768226558141606 -43.69455789507494 35.12209409456481 9.540668993736332 29.429377283880687 127.20731625234424 -1.9792700335059408 -164.69755594264922 -23.23929373649138 -24.325567351122842 4.552178691800106 -1.3734146835646932 2.969353366465281 -31.13719799475716 -42.99430062533883 50.2301770565532 4.690725796201958 -68.67660627517475 39.27146990937185 -3.2133412040633473 15.769758912714735 171.17850103391285 34.909703145125604 96.1781679196909 10.561827633025542 -67.90074346407395 9.535726290156349 -14.062164702199343 -13.466440097015166 20.23104227836242 3.205938289218441 37.72211217981807 -49.09317289348183 -23.155509759319322 17.37305709069613 -207.35189675941746 30.137213454079475 696.7264305191661 15.175430354904826 -30.802535792117983 15.933942262341146 26.652222144460264 -48.26982199636913 -6.262536010909871 -8.470748669173654 3.6773560900562616 0.15549814643001092 14.713021104800436 -64.56178136893209 92.17431914466985 124.18353759219053 29.548616595499393 -35.91952015164562 75.82825136120361 36.86845046302229 -1.5425000587951532 34.074013609966556 -21.760911953294958 10.9958411020585 -59.254711910429045 1.6071171621631883 -16.04533664629088 -38.93855246641999 47.18889190331304 13.010695676123978 -21.53215460182039 55.43691265945812 -3.6235613828695312 46.88312366894127 -5.275210547464905 -8.938951002408158 30.02072799541184 -15.445993871457658 23.300778534405787 -44.939734556096184 -13.569232683480994 -84.01353682019847 -120.60614509804478 36.53442059684264 -16.706325990471296 -80.04170581037181 26.74988631164963 17.45724595322041 25.697115862857935 82.89461415415174 57.815053474445584 -1.8774283218505623 8.481809267654274 -21.69071401328883 -13.110798473257013 18.73086725182085 -7.5493655672079605 14.708488151349108 -76.71859766070656 25.352650621125925 68.76982321660128 -10.895781949205503 -13.975557964784826 -15.607402743133704 36.89268886578559 -16.503708604616236 -13.065967453057606 -23.444983102306537 98.23284284553529 30.17018538814964 54.44434930801519 -102.90228519990772 -73.94968211183415 79.77362474255996 64.13374733803525 -5.834382639966021 -10.564750695446442 9.627059778023984 -23.19260490790591 -14.833074710253356 -6.661742162303556 10.904172855807948 7.805979273613213 -14.646711362315772 69.92570195147846 -3.0620382537312505 30.87542655715567 28.190808841240226 -15.189108766776943 6.458472015309275 65.23123301501174 42.970397789733795 -49.02502844607419 25.300123222737014 66.22629030927826 -44.05720601243817 38.40297465834676 11.0836226807355 -48.077533847167786 207.26882335393944 -20.70882684325816 114.10963357917845 32.051554233213956 17.30704456207919 -1.4712945496922147 60.92390396968274 10.611965446515361 -6.499141539209209 55.696197270545305 6.703891767600316 44.388255289197836 6.527970624696482 82.01317455465875 -21.114156248948 11.377050909352588 -10.176803013128165 69.29966771006228 -39.20507647865964 188.2769463722567 -23.16921598391629 -29.303204108122866 1.516882399533042 -17.677246892783998 33.22712137906632 -16.847172974730924 39.062098944932714 7.008146124157774 69.6820918675376 -75.23998989509985 -90.78841541930316 4.693573148134748 31.048613938125936 8.809627919434623 2.69621918695916 86.00404442212363 -41.28745714953609 48.854511211893985 208.32830517310472 -84.10013644517926 21.633852443975496 8.239986720453118 32.97071107050752 114.62674627577016 58.09555829934118 -69.29704989197357 10.301194578457618 1.170686640290226 -22.360348855041288 4.24996215139194 65.07058618640183 -6.906960693207274 -46.45914607868473 -163.44496996457826 -35.030458921512675 -18.54505331031308 -26.477612765714145 -3.1381639547196616 71.61953434265538 -80.00880889863058 -23.26499281794558 2.7159537357809 25.751148660339794 -6.549035404263856 184.30751023460758 -28.321988368593257 -31.529604489899718 -5.694408322437873 -1.8719823923204282 6.585248252203401 103.28783755302432 7.875215616370473 11.270401202887136 -97.24141196020967 -28.612984428530982 101.65185712091764 -105.80306605482059 22.36446706713041 40.98226105718073 22.273073531224465 -4.461759759151064 17.690694864483653 7.166518179595777 -44.911917796739985 -44.507414119146574 -1.3004977705814014 24.009615858325162 1.6728080747176834 13.680623503600474 -5.669730482559236 -10.76257688236545 -147.80920518578165 -11.92038496580247 -35.371629549788096 -71.17388233323078 -1.7894363454824829 -15.6567935887496 52.56475040580741 25.14947743334455 -38.71454488525292 183.48099753073086 -5.658396794130383 -11.075243085357615 154.8832284546924 -5.426588015974747 22.490715779539833 61.76549563013581 -32.37327763545611 -86.3922170075212 0.26838060418788645 -1.7668930815517658 -16.849544032777228 -49.82567927080241 42.24580532020041 28.18917828573 85.06615610213976 -55.304928110838894 -65.17282344133065 -16.15833870464747 -182.81507216200404 -41.380808532440945 -19.524379502808465 12.30331808890091 -9.469977549088018 544.5471546698448 -18.36581875099376 21.909113686506743 24.352872649419734 14.189778484070507 -3.2531711885528445 52.21004966160021 84.13594088399626 -25.33113343928777 -585.8790840758082 

Test: 1 t=(01), y=(01) EQU: true
Test: 2 t=(01), y=(01) EQU: true
Test: 3 t=(10), y=(10) EQU: true
Test: 4 t=(01), y=(01) EQU: true
Test: 5 t=(01), y=(01) EQU: true
Test: 6 t=(01), y=(01) EQU: true
Test: 7 t=(01), y=(01) EQU: true
Test: 8 t=(01), y=(01) EQU: true
Test: 9 t=(01), y=(01) EQU: true
Test: 10 t=(10), y=(10) EQU: true
Test: 11 t=(01), y=(01) EQU: true
Test: 12 t=(01), y=(01) EQU: true
Test: 13 t=(01), y=(01) EQU: true
Test: 14 t=(10), y=(10) EQU: true
Test: 15 t=(01), y=(01) EQU: true
Test: 16 t=(01), y=(01) EQU: true
Test: 17 t=(01), y=(01) EQU: true
Num of correct: 17, num of false: 0

mreza: 14:8:20:8:2
