1619.6723 499.676343 1.6E-5 3.0E-6 0.211103 1.0 1.618034 -0.034137 -1.0 64.811 -0.001 0.144765 0.999001 -Infinity || 2.8174564910144335E-4 1.0 0.09071399643497689 7.99219496874406E-7 3.957602673491821E-6 0.9668802741816839 7.232657705436523E-5 
1619.6723 499.676343 9.0E-6 2.0E-6 0.188113 1.0 2.169216 -0.386414 -1.0 76.649 -0.001 0.144765 0.999001 0.999 || 0.0013595955056179775 0.49495112359550564 0.09374157303370786 9.062078651685393E-6 3.056179775280899E-5 1.0 3.1123595505617976E-6 
1619.6723 499.676343 232.181431 60.475268 0.260466 0.878971 2.209141 -0.411932 -0.999999 57.769 0.5094 1.482532 2.03832 0.999 || 0.013178532267913306 1.0 0.057491644944616976 1.6611294590388895E-5 0.00530895648805342 0.22790227375691877 0.002258231945529635 
1619.6723 499.676343 122.409501 32.98095 0.269431 0.933995 2.608001 -0.666856 -0.999999 59.466 0.519048 1.524952 2.079211 0.999 || 0.01417289987624136 1.0 0.14097678770865404 3.9642367714087356E-4 0.014738386308068459 0.35278275830843064 0.007927435177638926 
1619.6723 499.676343 650.35941 181.643388 0.279297 0.636478 1.0 0.360868 -1.0 32.475 0.999 999.499917 1000.0 -Infinity || -1.3061433823529412E-16 -1.3061433823529412E-16 -1.3061433823529412E-16 -1.3061433823529412E-16 -1.3051470588235294E-16 1.0 -1.3051470588235294E-16 
1619.6723 499.676343 140.178412 6.770292 0.048298 0.986451 37.165919 -22.753912 -1.0 2035.275 0.092841 0.420721 1.102342 0.999 || 0.04577277206380489 1.0 0.008975449590441584 9.723856007883229E-4 1.3878294943647223E-4 0.7571403276467328 1.555779238775636E-6 
1619.6723 499.676343 713.30565 93.711719 0.131377 0.812455 8.515323 -4.442412 -0.999996 160.959 0.313675 0.862516 1.457035 0.999 || 0.7192585188056332 1.0 0.365881936936018 0.06447193945204921 0.026950060180746246 0.18196821640588343 0.0025014790183398275 
1619.6723 499.676343 8.729045 0.568895 0.065173 0.998861 8.275631 -4.289217 -1.0 875.903 0.564717 1.749994 2.297356 0.999 || 4.326674569309703E-5 1.0 0.0027836685208636525 6.415300386659679E-5 7.766000040487924E-5 0.03579413689866997 2.590091255283112E-5 
1619.6723 499.676343 295.068994 7.855163 0.026621 0.984279 41.967988 -25.823066 -1.0 1594.981 0.080365 0.39664 1.087388 0.999 || 1.3829277829991286E-4 1.0 0.020295158778615482 9.59147692582099E-4 5.950030527752814E-4 0.0033062516721662355 9.106908876372892E-5 
1619.6723 499.676343 22.557226 1.041349 0.046165 0.997916 138.077539 -87.249712 -1.0 3292.147 0.015926 0.241559 1.016184 0.999 || 0.2569832454033806 1.0 0.13609455019734015 0.011443472939518409 0.004976000840665981 0.029886911881515547 0.006366808529050882 
1619.6723 499.676343 20.28115 3.482909 0.171731 0.99303 9.276794 -4.929092 -1.0 5779.649 0.17005 0.564441 1.204892 0.999 || 0.9734545692418395 0.6413861450905999 1.0 0.12485118074180676 0.01587132857983908 0.007651926473474194 0.0719925426833257 
1619.6723 499.676343 520.334509 8.894347 0.017094 0.9822 362.252363 -230.526916 -1.0 2268.188 0.005114 0.189547 1.00514 0.999 || 1.3559255899251802E-4 1.0 2.4350667720191585E-4 2.809116892491684E-8 2.9654775491888834E-7 6.03825856232868E-4 6.906441134295162E-8 
1619.6723 499.676343 27.766903 2.906121 0.104661 0.994184 7.946438 -4.07882 -1.0 162.833 0.478247 1.355699 1.916617 0.999 || 0.04559118093452786 1.0 0.3998458471507891 0.010525451872433759 0.0032349165719070708 0.9015848245083999 0.009444859430681175 
1619.6723 499.676343 0.493758 0.113324 0.229514 0.999773 2.49133 -0.592288 -1.0 632.568 -0.001 0.144765 0.999001 0.999 || 0.2622244543622484 1.0 0.06979572113976114 2.7316447701339662E-5 3.732226902106709E-5 0.03148877398440799 1.6053398877081376E-5 
1619.6723 499.676343 391.415693 85.361853 0.218085 0.829166 2.517099 -0.608758 -0.999998 144.773 0.572866 1.794999 2.341186 0.999 || 0.03352308736317234 1.0 0.033818487593308355 0.04476475968489069 0.02521470510134836 0.04644050393886644 0.007755701767326586 
1619.6723 499.676343 489.009861 141.624098 0.289614 0.716568 3.020404 -0.930435 -1.0 77.137 0.492803 1.413134 1.971619 0.999 || 0.6833091007664063 1.0 0.836321174082085 0.9660661918726435 0.39014875068006 0.42418113196101814 0.11281033956555779 
1619.6723 499.676343 1997.479698 337.798776 0.169112 0.323965 748.42151 -477.339803 -0.998664 10952.256 0.001762 0.15769 1.001765 0.999 || 0.13774273275872886 1.0 0.19611828321226493 0.30511749281744394 0.1779627887136638 0.2145189255648814 0.01661309546213005 
1619.6723 499.676343 2175.891213 408.295428 0.187645 0.18288 853.344799 -544.399588 -0.998828 12795.219 0.001371 0.151686 1.001372 0.999 || 0.1598371330628864 1.0 0.23409577414187985 0.4045207550559107 0.2159992814693951 0.251157882131042 0.01681571186922743 
1619.6723 499.676343 877.58457 93.438758 0.106473 0.813001 3.272264 -1.091407 -1.0 140.494 0.415787 1.139494 1.711704 0.999 || 0.26473529140356195 1.0 0.31814928088376815 0.3425260687873235 0.2284683681136876 0.1627720579511449 0.18303155938146776 
1619.6723 499.676343 88.67771 22.475023 0.253446 0.955021 1.434853 0.08294 -1.0 218.525 4.7E-5 0.100428 1.000047 0.999 || 2.2793157164301694E-5 1.0 0.0026934970402469763 3.086979918996233E-5 2.5798708471407936E-5 0.054617497946582834 1.2843232220239613E-5 
1619.6723 499.676343 158.902852 48.15173 0.303026 0.903634 2.952137 -0.886804 -1.0 82.297 0.841152 5.780901 6.29531 0.999 || 0.00209983351171364 1.0 0.11246110318309749 0.2122973401514251 0.13249321163832403 0.8189266460538311 0.0039913213025726405 
1619.6723 499.676343 132.732042 44.09263 0.332193 0.911758 2.838727 -0.81432 -1.0 80.208 0.715527 2.987425 3.515267 0.999 || 0.010284329559967007 1.0 0.12672059910472314 0.2556502302463618 0.22025096793928017 0.8303056343409265 0.011272026346515716 
1619.6723 499.676343 345.344015 90.238947 0.261302 0.819405 3.86982 -1.473324 -1.0 86.339 0.424284 1.16638 1.736966 0.999 || 0.16050737835628193 1.0 0.3856520718489198 0.36463569618818653 0.15640172579874856 0.18863255542873794 0.15923731351740775 
1619.6723 499.676343 159.542561 41.711814 0.261446 0.916522 1.919647 -0.226907 -0.999999 94.761 0.54411 1.643105 2.193511 0.999 || 0.0380188715424543 1.0 0.07556253636998761 0.09221494683520665 0.043730689516606386 0.05519350917649177 0.026449505534907682 
